t,eps_f,eps_g
10,0.1,0.005
20,0.125,0.0078125
30,0.125,0.0078125
40,0.125,0.0078125
50,0.125,0.0078125
60,0.125,0.0078125
70,0.125,0.0078125
80,0.125,0.0078125
90,0.125,0.0078125
100,0.125,0.0078125
110,0.125,0.0078125
120,0.125,0.0078125
130,0.125,0.0078125
140,0.125,0.0078125
150,0.125,0.0078125
160,0.125,0.0078125
170,0.125,0.0078125
180,0.125,0.0078125
190,0.125,0.0078125
200,0.125,0.0078125
210,0.125,0.0078125
220,0.125,0.0078125
230,0.125,0.0078125
240,0.125,0.0078125
250,0.125,0.0078125
260,0.125,0.0078125
270,0.125,0.0078125
280,0.125,0.0078125
290,0.125,0.0078125
300,0.125,0.0078125
310,0.125,0.0078125
320,0.125,0.0078125
330,0.125,0.0078125
340,0.125,0.0078125
350,0.125,0.0078125
360,0.125,0.0078125
370,0.125,0.0078125
380,0.125,0.0078125
390,0.125,0.0078125
400,0.125,0.0078125
410,0.125,0.0078125
420,0.125,0.0078125
430,0.125,0.0078125
440,0.125,0.0078125
450,0.125,0.0078125
460,0.125,0.0078125
470,0.125,0.0078125
480,0.125,0.0078125
490,0.125,0.0078125
500,0.125,0.0078125
510,0.125,0.0078125
520,0.125,0.0078125
530,0.125,0.0078125
540,0.125,0.0078125
550,0.125,0.0078125
560,0.125,0.0078125
570,0.125,0.0078125
580,0.125,0.0078125
590,0.125,0.0078125
600,0.125,0.0078125
610,0.125,0.0078125
620,0.125,0.0078125
630,0.125,0.0078125
640,0.125,0.0078125
650,0.125,0.0078125
660,0.125,0.0078125
670,0.125,0.0078125
680,0.125,0.0078125
690,0.125,0.0078125
700,0.125,0.0078125
710,0.125,0.0078125
720,0.125,0.0078125
730,0.125,0.0078125
740,0.125,0.0078125
750,0.125,0.0078125
760,0.125,0.0078125
770,0.125,0.0078125
780,0.125,0.0078125
790,0.125,0.0078125
800,0.125,0.0078125
810,0.125,0.0078125
820,0.125,0.0078125
830,0.125,0.0078125
840,0.125,0.0078125
850,0.125,0.0078125
860,0.125,0.0078125
870,0.125,0.0078125
880,0.125,0.0078125
890,0.125,0.0078125
900,0.125,0.0078125
910,0.125,0.0078125
920,0.125,0.0078125
930,0.125,0.0078125
940,0.125,0.0078125
950,0.125,0.0078125
960,0.125,0.0078125
970,0.125,0.0078125
980,0.125,0.0078125
990,0.125,0.0078125
1000,0.125,0.0078125
1010,0.125,0.0078125
1020,0.125,0.0078125
1030,0.125,0.0078125
1040,0.125,0.0078125
1050,0.125,0.0078125
1060,0.125,0.0078125
1070,0.125,0.0078125
1080,0.125,0.0078125
1090,0.125,0.0078125
1100,0.125,0.0078125
1110,0.125,0.0078125
1120,0.125,0.0078125
1130,0.125,0.0078125
1140,0.125,0.0078125
1150,0.125,0.0078125
1160,0.125,0.0078125
1170,0.125,0.0078125
1180,0.125,0.0078125
1190,0.125,0.0078125
1200,0.125,0.0078125
1210,0.125,0.0078125
1220,0.125,0.0078125
1230,0.125,0.0078125
1240,0.125,0.0078125
1250,0.125,0.0078125
1260,0.125,0.0078125
1270,0.125,0.0078125
1280,0.125,0.0078125
1290,0.125,0.0078125
1300,0.125,0.0078125
1310,0.125,0.0078125
1320,0.125,0.0078125
1330,0.125,0.0078125
1340,0.125,0.0078125
1350,0.125,0.0078125
1360,0.125,0.0078125
1370,0.125,0.0078125
1380,0.125,0.0078125
1390,0.125,0.0078125
1400,0.125,0.0078125
1410,0.125,0.0078125
1420,0.125,0.0078125
1430,0.125,0.0078125
1440,0.125,0.0078125
1450,0.125,0.0078125
1460,0.125,0.0078125
1470,0.125,0.0078125
1480,0.125,0.0078125
1490,0.125,0.0078125
1500,0.125,0.0078125
1510,0.125,0.0078125
1520,0.125,0.0078125
1530,0.125,0.0078125
1540,0.125,0.0078125
1550,0.125,0.0078125
1560,0.125,0.0078125
1570,0.125,0.0078125
1580,0.125,0.0078125
1590,0.125,0.0078125
1600,0.125,0.0078125
1610,0.125,0.0078125
1620,0.125,0.0078125
1630,0.125,0.0078125
1640,0.125,0.0078125
1650,0.125,0.0078125
1660,0.125,0.0078125
1670,0.125,0.0078125
1680,0.125,0.0078125
1690,0.125,0.0078125
1700,0.125,0.0078125
1710,0.125,0.0078125
1720,0.125,0.0078125
1730,0.125,0.0078125
1740,0.125,0.0078125
1750,0.125,0.0078125
1760,0.125,0.0078125
1770,0.125,0.0078125
1780,0.125,0.0078125
1790,0.125,0.0078125
1800,0.125,0.0078125
1810,0.125,0.0078125
1820,0.125,0.0078125
1830,0.125,0.0078125
1840,0.125,0.0078125
1850,0.125,0.0078125
1860,0.125,0.0078125
1870,0.125,0.0078125
1880,0.125,0.0078125
1890,0.125,0.0078125
1900,0.125,0.0078125
1910,0.125,0.0078125
1920,0.125,0.0078125
1930,0.125,0.0078125
1940,0.125,0.0078125
1950,0.125,0.0078125
1960,0.125,0.0078125
1970,0.125,0.0078125
1980,0.125,0.0078125
1990,0.125,0.0078125
2000,0.125,0.0078125
2010,0.125,0.0078125
2020,0.125,0.0078125
2030,0.125,0.0078125
2040,0.125,0.0078125
2050,0.125,0.0078125
2060,0.125,0.0078125
2070,0.125,0.0078125
2080,0.125,0.0078125
2090,0.125,0.0078125
2100,0.125,0.0078125
2110,0.125,0.0078125
2120,0.125,0.0078125
2130,0.125,0.0078125
2140,0.125,0.0078125
2150,0.125,0.0078125
2160,0.125,0.0078125
2170,0.125,0.0078125
2180,0.125,0.0078125
2190,0.125,0.0078125
2200,0.125,0.0078125
2210,0.125,0.0078125
2220,0.125,0.0078125
2230,0.125,0.0078125
2240,0.125,0.0078125
2250,0.125,0.0078125
2260,0.125,0.0078125
2270,0.125,0.0078125
2280,0.125,0.0078125
2290,0.125,0.0078125
2300,0.125,0.0078125
2310,0.125,0.0078125
2320,0.125,0.0078125
2330,0.125,0.0078125
2340,0.125,0.0078125
2350,0.125,0.0078125
2360,0.125,0.0078125
2370,0.125,0.0078125
2380,0.125,0.0078125
2390,0.125,0.0078125
2400,0.125,0.0078125
2410,0.125,0.0078125
2420,0.125,0.0078125
2430,0.125,0.0078125
2440,0.125,0.0078125
2450,0.125,0.0078125
2460,0.125,0.0078125
2470,0.125,0.0078125
2480,0.125,0.0078125
2490,0.125,0.0078125
2500,0.125,0.0078125
2510,0.125,0.0078125
2520,0.125,0.0078125
2530,0.125,0.0078125
2540,0.125,0.0078125
2550,0.125,0.0078125
2560,0.125,0.0078125
2570,0.125,0.0078125
2580,0.125,0.0078125
2590,0.125,0.0078125
2600,0.125,0.0078125
2610,0.125,0.0078125
2620,0.125,0.0078125
2630,0.125,0.0078125
2640,0.125,0.0078125
2650,0.125,0.0078125
2660,0.125,0.0078125
2670,0.125,0.0078125
2680,0.125,0.0078125
2690,0.125,0.0078125
2700,0.125,0.0078125
2710,0.125,0.0078125
2720,0.125,0.0078125
2730,0.125,0.0078125
2740,0.125,0.0078125
2750,0.125,0.0078125
2760,0.125,0.0078125
2770,0.125,0.0078125
2780,0.125,0.0078125
2790,0.125,0.0078125
2800,0.125,0.0078125
2810,0.125,0.0078125
2820,0.125,0.0078125
2830,0.125,0.0078125
2840,0.125,0.0078125
2850,0.125,0.0078125
2860,0.125,0.0078125
2870,0.125,0.0078125
2880,0.125,0.0078125
2890,0.125,0.0078125
2900,0.125,0.0078125
2910,0.125,0.0078125
2920,0.125,0.0078125
2930,0.125,0.0078125
2940,0.125,0.0078125
2950,0.125,0.0078125
2960,0.125,0.0078125
2970,0.125,0.0078125
2980,0.125,0.0078125
2990,0.125,0.0078125
3000,0.125,0.0078125
3010,0.125,0.0078125
3020,0.125,0.0078125
3030,0.125,0.0078125
3040,0.125,0.0078125
3050,0.125,0.0078125
3060,0.125,0.0078125
3070,0.125,0.0078125
3080,0.125,0.0078125
3090,0.125,0.0078125
3100,0.125,0.0078125
3110,0.125,0.0078125
3120,0.125,0.0078125
3130,0.125,0.0078125
3140,0.125,0.0078125
3150,0.125,0.0078125
3160,0.125,0.0078125
3170,0.125,0.0078125
3180,0.125,0.0078125
3190,0.125,0.0078125
3200,0.125,0.0078125
3210,0.125,0.0078125
3220,0.125,0.0078125
3230,0.125,0.0078125
3240,0.125,0.0078125
3250,0.125,0.0078125
3260,0.125,0.0078125
3270,0.125,0.0078125
3280,0.125,0.0078125
3290,0.125,0.0078125
3300,0.125,0.0078125
3310,0.125,0.0078125
3320,0.125,0.0078125
3330,0.125,0.0078125
3340,0.125,0.0078125
3350,0.125,0.0078125
3360,0.125,0.0078125
3370,0.125,0.0078125
3380,0.125,0.0078125
3390,0.125,0.0078125
3400,0.125,0.0078125
3410,0.125,0.0078125
3420,0.125,0.0078125
3430,0.125,0.0078125
3440,0.125,0.0078125
3450,0.125,0.0078125
3460,0.125,0.0078125
3470,0.125,0.0078125
3480,0.125,0.0078125
3490,0.125,0.0078125
3500,0.125,0.0078125
3510,0.125,0.0078125
3520,0.125,0.0078125
3530,0.125,0.0078125
3540,0.125,0.0078125
3550,0.125,0.0078125
3560,0.125,0.0078125
3570,0.125,0.0078125
3580,0.125,0.0078125
3590,0.125,0.0078125
3600,0.125,0.0078125
3610,0.125,0.0078125
3620,0.125,0.0078125
3630,0.125,0.0078125
3640,0.125,0.0078125
3650,0.125,0.0078125
3660,0.125,0.0078125
3670,0.125,0.0078125
3680,0.125,0.0078125
3690,0.125,0.0078125
3700,0.125,0.0078125
3710,0.125,0.0078125
3720,0.125,0.0078125
3730,0.125,0.0078125
3740,0.125,0.0078125
3750,0.125,0.0078125
3760,0.125,0.0078125
3770,0.125,0.0078125
3780,0.125,0.0078125
3790,0.125,0.0078125
3800,0.125,0.0078125
3810,0.125,0.0078125
3820,0.125,0.0078125
3830,0.125,0.0078125
3840,0.125,0.0078125
3850,0.125,0.0078125
3860,0.125,0.0078125
3870,0.125,0.0078125
3880,0.125,0.0078125
3890,0.125,0.0078125
3900,0.125,0.0078125
3910,0.125,0.0078125
3920,0.125,0.0078125
3930,0.125,0.0078125
3940,0.125,0.0078125
3950,0.125,0.0078125
3960,0.125,0.0078125
3970,0.125,0.0078125
3980,0.125,0.0078125
3990,0.125,0.0078125
4000,0.125,0.0078125
4010,0.125,0.0078125
